tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	fen	tag
33818	926.0	45.52	65460.0	18.0	1.0	https://lichess.org/analysis/4k3/4r3/3Q4/2nP1Pp1/8/8/6P1/6K1_b_-_-	Defense
28776	1092.0	46.14	65574.0	20.0	1.0	https://lichess.org/analysis/4r1kr/p5pp/2p5/2b5/5Pb1/8/PPPP3P/RNB1K2R_w_-_-	Basic Checkmates
43763	866.0	44.42	55477.0	31.0	1.0	https://lichess.org/analysis/5r1r/pp6/3kbQBp/2qp4/8/4R2P/PPP2KP1/6NR_w_-_-	Pin
38612	999.0	45.91	64427.0	35.0	1.0	https://lichess.org/analysis/8/1p2k1p1/2p1n2p/P1P2B2/PK4P1/8/8/8_b_-_-	Hanging Piece
29064	986.0	43.76	57201.0	45.0	2.0	https://lichess.org/analysis/8/4Q3/k1q5/5p2/r2p1Pp1/2p3P1/P1P5/K2R4_w_-_-	Basic Checkmates
27002	956.0	43.63	61797.0	25.0	1.0	https://lichess.org/analysis/r1bqkb1r/1p1pnp1p/p5p1/2pN2B1/4P3/5N2/PPP2PPP/R2QK2R_b_KQkq_-	Smothered Mate
37235	1095.0	47.44	64635.0	30.0	1.0	https://lichess.org/analysis/r4rk1/pb3p2/4p1pP/1p1nN3/5P2/b1P5/1PQB3P/qBKR2R1_b_-_-	Sacrifice
42406	1082.0	45.19	64619.0	29.0	1.0	https://lichess.org/analysis/r2qk2r/pppbbppp/2n5/1B1Q4/8/5N2/PPP2PPP/R1BR2K1_b_kq_-	Hanging Piece
35988	900.0	44.28	46310.0	33.0	1.0	https://lichess.org/analysis/r5k1/p4ppp/1q6/1p2r3/1b4b1/4PP2/PPBNQ1PP/R3K2R_w_KQ_-	Pin
34445	1134.0	45.91	64067.0	43.0	1.0	https://lichess.org/analysis/5k2/8/7Q/3q1P2/1p1b4/2p1r2P/6P1/4BR1K_b_-_-	Hanging Piece
42734	1086.0	44.82	63102.0	44.0	1.0	https://lichess.org/analysis/r2q3k/1bbpnRpp/p2p4/1p2p2P/4P3/1PP1N1P1/1P2Q3/R1B3K1_b_-_-	Fork / Double Attack
31118	1158.0	46.33	65100.0	31.0	1.0	https://lichess.org/analysis/5rk1/1b3pp1/p4b1p/1p1q4/8/1P2QNP1/1PPN3P/R3R1K1_b_-_-	Hanging Piece
39496	878.0	45.05	63572.0	27.0	1.0	https://lichess.org/analysis/r1bqr1k1/pp1nbB1p/2p2ppB/8/3P4/5Q2/PPP1NPPP/R3K2R_b_KQ_-	Mate in 1
38515	1032.0	45.18	63736.0	59.0	2.0	https://lichess.org/analysis/2R5/8/r2Rr1p1/4P3/1p3BP1/2b2K2/2k5/8_b_-_-	Pin
28781	1075.0	46.15	66010.0	24.0	1.0	https://lichess.org/analysis/4r1kr/p5pp/2p5/2b5/5Pb1/8/PPPP3P/RNB1K2R_w_-_-	Basic Checkmates
27384	1175.0	46.12	64834.0	30.0	1.0	https://lichess.org/analysis/r1b2rk1/1pppqppp/p4n2/b3p1N1/N1BnP3/1QP5/PP3PPP/R1B1K2R_w_KQ_-	Hanging Piece
50609	863.0	42.78	51624.0	18.0	1.0	https://lichess.org/analysis/2r1k2r/ppn1np2/2ppb3/7p/1PPPN3/P4N2/2K1B1PP/3R3R_b_k_-	Fork / Double Attack
