tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	fen	count	Duplicate with	FULL	tags	Problem ID	Cluster
28637	1078.0	45.64	61632.0	47.0	2.0	https://lichess.org/analysis/2R5/p1r2bpk/5p1p/1P6/P1q3P1/3QB2P/1P3P2/1K1R4_b_-_-	5497		 33. ... Bg6 34. Rh8+ Kxh8 35. Qxg6	Sacrifice	28637.0	7.0
29355	1149.0	45.89	65743.0	27.0	1.0	https://lichess.org/analysis/R7/1p2k2p/2b1P1p1/5p2/3b2P1/1B4KP/P4r2/4R3_w_-_f6	5497		 32. gxf5 Rg2+	Mating Net	29355.0	7.0
27613	1144.0	45.47	64190.0	40.0	1.0	https://lichess.org/analysis/8/5pk1/1b4p1/1P1pp1Pp/R2P2qP/2R2N2/1P3P2/5K2_w_-_-	5484		 44. dxe5 Qxa4	Hanging Piece	27613.0	7.0
29149	574.0	43.61	53306.0	23.0	1.0	https://lichess.org/analysis/r5r1/pQ5p/1qR5/2k1p3/4P3/2PP4/P1P3PP/6K1_b_-_-	5477		 24. ... Qxc6 25. Qb4#	Mate in 1	29149.0	15.0
31582	929.0	44.37	63405.0	22.0	1.0	https://lichess.org/analysis/7r/2p2pk1/p2pnq2/2n3p1/3NP1Q1/2P1BPP1/P5K1/1R6_b_-_-	5477		 35. ... Qh6 36. Nf5+	Fork / Double Attack	31582.0	7.0
35687	1255.0	44.53	61113.0	43.0	1.0	https://lichess.org/analysis/5r2/pp2bppk/2n2P1p/4P2n/1qp1P3/5N1P/PB2QP2/1B1R3K_b_-_-	5473		 28. ... Bc5 29. Ng5+	Sacrifice	35687.0	7.0
30592	1178.0	45.23	65126.0	40.0	1.0	https://lichess.org/analysis/3r1rk1/pppq2pp/1Bn5/3p1bQ1/2P5/2N5/PP2B1PP/3R1RK1_b_-_-	5468		 19. ... axb6 20. Rxd5	Fork / Double Attack	30592.0	7.0
37000	1114.0	44.06	63413.0	23.0	1.0	https://lichess.org/analysis/rn1qkb1r/pp2pppp/2p2n2/8/4N1b1/5NP1/PPPPQP1P/R1B1KB1R_b_KQkq_-	5465		 6. ... Nbd7 7. Nd6#	Pin	37000.0	7.0
38036	790.0	43.76	61609.0	19.0	1.0	https://lichess.org/analysis/2k1rbr1/ppqn2p1/8/3pp1Pp/P2B1P1P/1P3RN1/2PQ4/R3K3_w_Q_-	5465		 25. Rc3 exd4+	Discovered Attack	38036.0	7.0
26878	1097.0	45.61	61847.0	45.0	1.0	https://lichess.org/analysis/1k1r3r/ppp1bp2/2qp2p1/3b3p/4N2P/1PPnBBQ1/P4PP1/R2K2NR_w_-_-	5464		 19. Ne2 Bxe4	Hanging Piece	26878.0	7.0
27106	746.0	44.03	47007.0	35.0	1.0	https://lichess.org/analysis/r1bqr1k1/ppp2pp1/2n2b1p/8/2BpN3/P3PN2/1P3PPP/R2QK2R_w_KQ_-	5464		 13. O-O Rxe4	Hanging Piece	27106.0	7.0
26961	994.0	44.01	59919.0	36.0	1.0	https://lichess.org/analysis/r1b2rk1/pp2bppp/4q3/4p3/3pQ3/P2P3P/1PPBBPP1/R3K2R_w_KQ_-	5462		 14. Bg4 f5	Fork / Double Attack	26961.0	15.0
